phase=first-missing-character
joined_length=151093 baseline_input_score=27296 mapped_base64_center=36394
tail001_boundary=36000..53999 search=36000..36586
coarse_top:
  score=28672 position=36392 char=8
  score=28672 position=36036 char=C
  score=28416 position=36400 char=A
  score=28416 position=36396 char=X
  score=28416 position=36344 char=N
  score=28416 position=36340 char=L
  score=28416 position=36304 char=y
  score=28416 position=36260 char=i
  score=28416 position=36208 char=4
  score=28416 position=36104 char=5
  score=28416 position=36016 char=q
  score=28160 position=36400 char=0
  score=28160 position=36388 char=n
  score=28160 position=36388 char=V
  score=28160 position=36376 char=V
  score=28160 position=36364 char=2
  score=28160 position=36352 char=g
  score=28160 position=36340 char=K
  score=28160 position=36324 char=h
  score=28160 position=36320 char=s
  score=28160 position=36320 char=N
  score=28160 position=36316 char=N
  score=28160 position=36312 char=H
  score=28160 position=36264 char=Y
refined_top:
  score=28704 position=36036 char=C
  score=28704 position=36034 char=6
  score=28672 position=36392 char=8
  score=28640 position=36208 char=4
  score=28608 position=36401 char=H
  score=28608 position=36340 char=L
  score=28608 position=36333 char=N
  score=28608 position=36304 char=y
  score=28576 position=36016 char=q
  score=28544 position=36399 char=F
  score=28544 position=36333 char=8
  score=28512 position=36344 char=N
  score=28512 position=36104 char=5
  score=28512 position=36098 char=P
  score=28480 position=36397 char=s
  score=28480 position=36396 char=X
  score=28480 position=36260 char=i
  score=28448 position=36401 char=4
  score=28448 position=36310 char=Z
  score=28448 position=36039 char=q
  score=28416 position=36400 char=A
  score=28416 position=36335 char=X
  score=28416 position=36213 char=9
  score=28352 position=36265 char=Q
  score=28320 position=36399 char=o
  score=28320 position=36264 char=Y
  score=28320 position=36253 char=e
  score=28288 position=36395 char=k
  score=28288 position=36388 char=n
  score=28288 position=36338 char=0
  score=28288 position=36305 char=T
  score=28288 position=36257 char=6
  score=28288 position=36254 char=j
  score=28288 position=36099 char=E
  score=28256 position=36391 char=O
  score=28256 position=36352 char=g
  score=28256 position=36343 char=v
  score=28224 position=36389 char=a
  score=28224 position=36387 char=F
  score=28224 position=36349 char=E
